grupo_mip,slq,pibe_jalisco_2023,pibe_nacional_2023,particip_jalisco,particip_nacional,especializado
111,1.3933059667716536,53640.166,519806.257,0.031746017279004266,0.022784670442889923,True
112,2.5657630248199155,51715.217,272144.58400000003,0.030606769048206434,0.011928915005841059,True
113-115,0.4188964662925481,959.486,30926.433,0.0005678554226503081,0.0013555985030767252,False
114,0.12031614793239925,69.724,7824.494,4.12649600816167e-05,0.0003429710873456637,False
21-1,0.0,0.0,689024.188,0.0,0.030202000917353,False
21-2,0.322888565299364,6438.533,269235.391,0.0038105359306576194,0.011801396333514338,False
22,0.7632884529107917,17779.838,314511.836,0.01052269384039372,0.013785998989327754,False
23,0.8892611857078466,97027.39,1473204.0330000003,0.05742400572505099,0.06457496025685842,False
311,1.3874847554160368,101598.418,988681.965,0.060129290676458724,0.043336901859097526,True
312,2.472709091978289,45751.371,249821.01799999995,0.02707716852151678,0.010950406017981562,True
313-314,0.5065485104194596,1689.62,45036.63,0.0009999727762764789,0.0019740908436359384,False
315-316,0.6468355515272031,4205.703,87789.506,0.0024890735816954796,0.0038480778859768658,False
321,0.7488512825628282,1984.689,35784.485,0.0011746043307817075,0.001568541522372513,False
322-323,0.7731578447502783,7351.337,128379.61,0.004350763407886982,0.0056272641316757665,False
324-326,1.1065168878602647,58219.582,710409.7660000001,0.03445626652513353,0.031139395072192343,True
327,0.3542453900808995,4143.237,157918.66199999998,0.0024521041451103973,0.006922049555960084,False
331-332,0.5787568473008,18805.43,438717.55499999993,0.011129672971539745,0.01923030893447947,False
333-336,0.975606261106022,157851.695,2184603.16,0.09342183312762514,0.09575772199505464,False
337,1.2513568711097156,4787.196,51653.281,0.0028332202949181793,0.0022641185423033254,True
339,0.43532206116022676,4449.449,138004.562,0.0026333304940937027,0.006049154704163882,False
43,1.5066570546338736,271698.027,2434837.3880000003,0.16079984278597065,0.10672624024917597,True
46,0.9126763277789679,166389.945,2461547.261,0.09847505074877229,0.10789701425522345,False
48-49,0.8892421985786891,119227.043,1810308.5220000003,0.0705624916821209,0.0793512631259557,False
51,0.5426885854741685,18236.604,453723.389,0.010793023006199465,0.019888059736449356,False
52,0.8579986910919227,62806.34,988359.059,0.0371708610087265,0.0433227479186727,False
53,1.026047037594509,180081.864,2369739.421,0.10657837945876783,0.10387280071353543,True
54,0.9475963635533862,36280.887,516954.592,0.021472224109067847,0.022659673395694847,False
55,0.048107383286334765,527.68,148100.58899999998,0.00031229840708891485,0.006491693909646201,False
56,1.0053779136464085,17400.813,233688.90100000004,0.010298374359369469,0.01024328684724957,True
61,0.7735026488542946,50411.352,879963.0300000001,0.02983509878865711,0.03857142419983771,False
62,0.8676848156723054,37434.938,582522.9060000001,0.02215522950817217,0.025533729653901695,False
71,1.2652331283304517,11758.485,125481.21099999998,0.0069590587766807524,0.0055002185928087685,True
72,0.8749730089344825,37544.071,579354.778,0.02221981801268406,0.025394861082335247,False
81,1.2826529762275154,41399.869,435800.456,0.024501806288640363,0.019102443718412472,True
