Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023<R>,2024<P>
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|22---Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final<C1>",216956.772,266460.86100000003,284907.36400000006,327420.31899999996,350086.33199999994,360350.768,358037.95599999995,367932.20600000006,390907.8610000001,396321.76399999997,402739.21699999995,427125.966,431924.744,428609.692,448388.402,456907.22300000006,432839.8619999999,413494.31899999996,321356.72099999996,322410.86699999997,314511.836,307224.216
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|23---Construcción<C1>,1075069.3270000003,1151415.2519999999,1190174.822,1296150.1890000002,1356302.0379999997,1410707.0010000004,1312387.1609999996,1310249.341,1363009.9710000001,1389656.8149999997,1364618.697,1400993.498,1434503.914,1459717.744,1456289.2859999998,1460789.5250000001,1403102.976,1154295.549,1273794.7920000006,1312765.5550000002,1473204.0330000003,1517047.3679999998
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras<C1>,3833040.9359999998,3929305.526,4016091.4800000004,4220948.197,4234785.396,4167885.546000001,3734717.4409999996,4013683.5310000004,4147264.792,4346735.634,4326571.777,4498392.389,4653000.406999999,4695293.561,4815818.148,4881116.397,4878930.573,4478138.344000001,4870604.099,5143921.431000001,5216800.200000001,5213977.584
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,678682.6879999998,698070.7309999999,720254.583,732790.798,748035.34,757415.7860000001,755945.1669999999,769648.4380000004,790430.1989999999,810363.5150000001,817512.25,826184.2330000001,845693.7030000001,868766.3310000001,887634.1900000002,911713.7720000001,931707.084,939987.5779999999,963401.239,992081.4209999999,988681.9650000001,986544.6749999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,147409.08099999998,156906.44599999997,166139.49799999996,174957.95299999998,178954.81699999995,184269.50000000006,185060.97000000003,184723.24600000007,191875.33,195964.28399999999,196722.26,202425.49800000002,210672.44799999997,224099.06399999998,231441.138,240174.36999999997,247999.32600000003,229972.663,248237.66700000002,260002.84499999994,249821.01799999995,252628.28299999997
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",49781.09299999999,53098.867,51204.209999999985,52188.892,51424.770000000004,48043.05600000001,45463.178,47654.401000000005,45859.804,47096.058,46219.16800000001,46875.941,49381.67799999999,50206.848,47898.11099999998,49842.206999999995,48389.49399999999,39822.74999999999,49076.988999999994,48066.112000000016,45036.63,42709.329999999994
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",101839.98100000004,104386.39900000003,100901.12699999998,99372.96100000001,96253.29200000003,99717.64700000001,98129.82199999999,100017.20000000003,96182.98199999999,98752.91300000002,99046.71399999999,101354.60200000001,104163.63399999999,102480.899,101626.49100000001,102619.767,99864.25800000002,78849.67600000002,87575.18199999997,92535.79400000001,87789.506,78221.64800000002
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,36263.653999999995,36822.36300000001,36010.306000000004,36721.367,37558.519000000015,34912.25299999999,32041.829,33571.895,35035.37399999999,39134.68699999999,37988.085,37031.61799999998,38713.72600000001,38457.92199999999,39257.16200000001,38837.81500000001,38608.02099999999,37692.04599999999,41026.458000000006,39869.324,35784.485,33945.566
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,84027.59999999998,86594.91,89637.535,94248.68800000001,96388.93000000001,98334.38100000001,96069.25800000002,101425.96600000001,102139.78900000002,104620.56600000002,104182.098,109341.03800000002,114074.647,118609.31599999999,122937.24799999998,126255.77700000002,123965.686,119900.65299999999,129573.66200000003,134380.273,128379.60999999999,125646.23799999998
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,796466.3039999999,821247.0449999999,821261.4120000001,835267.5260000001,844639.2229999999,837394.4940000001,817544.4579999998,804820.5270000001,793392.121,813239.312,817776.1070000001,801611.4810000003,779543.0919999998,750375.6619999999,703354.259,672445.9839999999,654885.154,630255.5989999999,692286.7790000001,731120.8040000001,710409.7660000001,757676.4949999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,116845.15799999998,125141.422,132482.97300000003,142353.128,146377.92399999997,143101.58000000002,131127.829,134187.87,141098.878,144944.68399999998,138539.728,144785.28000000003,154306.92599999998,158120.61000000002,157187.97699999998,157596.09700000007,153135.03800000003,149058.507,162994.569,161954.592,157918.66199999998,154925.45100000003
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,400934.24799999996,422530.861,447179.8400000001,472475.4820000001,466732.9899999999,445304.58599999995,363481.1720000001,403732.67699999997,419652.43100000004,434705.8960000001,412624.12,449726.8030000002,453198.96499999997,450970.258,449258.74500000005,427987.15900000004,415687.88599999994,391866.1260000001,433092.91899999994,436684.56100000005,438717.55499999993,422618.07599999994
