Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023<R>,2024<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,70931.269,71852.861,73591.276,75048.517,74783.499,75931.556,74640.688,77000.435,77890.203,80753.79,82935.92,85954.078,90849.386,91823.675,91877.295,96608.423,99003.124,100130.841,102607.92,105846.181,101598.418,101273.571
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,20709.818,22640.442,25123.721,26098.118,26596.654,30312.726,29738.597,30470.787,28589.499,31778.016,34363.471,37452.143,38524.286,38753.301,40768.107,42532.632,47523.011,40752.498,44916.471,47554.774,45751.371,43758.116
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",2295.554,2410.089,2203.314,2319.917,2049.184,1693.617,1501.674,1520.649,1469.605,1632.101,1605.591,1736.8759999999997,1720.672,1789.363,1579.708,1772.4989999999998,1897.753,1673.425,1866.672,1813.145,1689.62,1649.663
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",10185.087,10023.863000000001,9936.708999999999,9785.184000000001,9282.798,8094.984,7716.5,7820.924,7311.448,7046.668,6314.996,6230.002,6059.111,5541.716,4990.891,4829.738,4507.222,3717.039,4066.977,4132.423,4205.703,3383.323
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,3402.537,3521.375,2884.111,2946.823,3131.364,3009.867,2721.416,2418.078,2324.01,2674.653,1918.054,2017.743,2160.212,2070.256,2036.982,2132.587,2047,1883.123,1972.536,2060.988,1984.689,1878.262
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,4231.049,4171.754,4358.053,4807.845,5038.902,5303.571,5633.219,6577.183,7852.738,7603.88,5562.46,5806.571,6436.261,7245.879,7624.329,7429.715,7195.261,7101.813,7821.777,8055.71,7351.337,6829.185
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,38620.747,39418.945,40963.520000000004,42281.924,39424.932,38453.225,33990.712999999996,34659.368,34805.705,37595.436,35585.723,36741.229,39114.461,40920.143,42489.037000000004,44840.957,46095.709,43311.586,48388.944,54640.697,58219.582,60042.792
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,3832.92,4063.441,4330.893,4644.839,4405.763,4351.1,4220.992,4426.077,4767.49,5152.059,4542.165,4540.831,4743.813,5330.889,5464.685,5252.221,5189.59,4825.274,5339.989,4478.502,4143.237,3914.404
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,22419.619,25113.226000000002,22764.744,22735.585,21743.968,20950.292,18766.488,21944.177,22577.632,22678.768,20118.497,22441.010000000002,23356.934999999998,23035.963,23121.592,21969.214,20715.365,18788.513,20307.696,19722.508,18805.43,17733.278
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",89707.79499999998,76505.13799999999,80337.049,92392.023,93513.649,80141.018,76156.633,83749.991,79037.002,88189.125,98624.15,115922.044,123612.843,121814.032,121388.644,120195.19099999999,123334.005,103074.445,109723.399,131846.652,157851.695,164398.168
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",5282.616,5736.801,5736.572,5677.838,5509.642,5459.956,5049.955,5516.581,5859.033,5717.25,5312.91,5197.806,5673.33,5710.047,5271.88,5107.505,4971.739,4775.389,5463.304,5494.123,4787.196,4529.869
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,3235.048,3227.646,3576.732,3825.516,4046.418,3620.569,3658.349,3653.802,3933.75,4125.419,4334.207,4660.037,4840.026,4846.364,4660.751,4805.244,4637.664,3792.061,4671.501,4494.507,4449.449,4677.744
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades terciarias<C1>,694583.773,716883.1819999999,730771.5959999999,765219.648,789696.2460000002,806750.4930000002,767174.9500000002,814314.44,846858.665,874699.3820000001,892073.4799999999,910826.8620000002,937715.7470000002,981350.3179999999,998666.541,1042080.778,1049824.386,964863.183,1021534.1739999998,1058088.4229999997,1092020.01,1111594.614
