iteracion,diff_maxima
1,85880.92370971414
2,5298.802949601421
3,2830.396690676789
4,1302.2847276309913
5,584.6638907175802
6,259.8461734737357
7,114.89802232632064
8,50.666205723260646
9,22.308697276297607
10,9.814665514873923
11,4.316031147958711
12,1.897536433141795
13,0.8341425747494213
14,0.3666578439733712
15,0.16116326712653972
16,0.0708374486566754
17,0.03113547021348495
18,0.013685027530300431
19,0.006014987608068623
20,0.002643766929395497
21,0.001162013824796304
22,0.0005107392789795995
23,0.0002244848437840119
24,9.8667704151012e-05
