,Año,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3,2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3,2019,2019.1,2019.2,2019.3,2020,2020.1,2020.2,2020.3,2021,2021.1,2021.2,2021.3,2022,2022.1,2022.2,2022.3,2023,2023.1
0,Columnas,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2
9,"221 - Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",338343.109,367148.616,396824.013,369413.087,363583.56,396515.595,416927.671,386604.626,371718.337,401647.737,420939.825,390981.162,374874.628,408188.324,429627.467,398266.449,399043.678,433299.39,453816.15,422344.646,402924.006,429763.268,461543.787,433467.923,394972.593,435595.332,458674.228,425196.603,418588.969,454986.532,476130.914,443847.197,420623.057,462581.624,495975.433,448448.77,394122.374,435244.06,469357.734,432635.285,401205.962,398968.514,450484.363,403318.44,298681.899,327730.494,343146.493,315868.002,312723.41,350952.399,368317.334,336727.493,327848.567,354138.506
10,236 - Edificación,918723.081,896177.206,889859.997,918012.141,867995.317,927374.824,960327.335,1021135.112,930661.015,951731.017,991431.315,979315.301,918488.119,924251.361,929239.015,967273.757,917887.847,972113.196,954860.937,1018542.291,911586.823,990360.829,1081103.927,1008204.433,970776.523,1042907.127,1047057.134,1082095.543,1009441.583,1014439.254,1077510.389,1091512.845,1043959.367,1072267.445,1073955.65,1069522.551,1065782.451,1051195.279,1013070.763,1033995.695,971436.19,642946.638,831393.188,948245.388,910836.738,931761.413,954099.775,954175.37,937549.522,954328.195,924144.125,965115.943,948726.327,975070.927
11,237 - Construcción de obras de ingeniería civil,255615.459,270865.074,281631.669,322450.643,261023.279,272519.269,291821.318,334813.73,260082.091,274822.159,301179.383,332730.959,259029.118,280443.754,304740.653,349961.123,255900.276,269263.65,298234.079,347331.103,264203.047,264916.879,300027.908,332453.637,257825.823,251588.513,251923.801,289070.958,233916.318,212595.214,223773.11,271380.842,212065.474,206865.837,208556.941,228759.832,196365.489,189347.949,193863.254,193275.345,164833.437,146176.695,147720.216,158896.009,150258.189,152593.774,165271.952,176489.534,156364.831,154702.436,175219.374,214273.6,220280.933,334122.198
12,238 - Trabajos especializados para la construcción,119430.421,122126.881,124588.204,121516.59,120743.334,129916.083,131466.161,132904.115,126567.455,138145.401,139314.639,132646.525,126543.118,129997.923,131945.645,136561.206,138870.399,140555.065,144083.614,146331.534,146686.063,144414.733,142221.249,151836.132,153967.744,154808.221,159527.524,177322.071,172071.942,172245.244,168710.706,177559.703,183740.05,179979.453,184683.35,178802.151,169809.071,170793.582,169920.512,165633.351,163722.021,118897.07,151091.031,165575.446,172460.579,183459.308,164899.916,173838.509,178236.169,207824.98,180875.248,190331.554,185586.461,197115.022
13,311 - Industria alimentaria,794171.701,759355.142,745178.391,779888.517,812135.104,771299.674,773322.628,804963.389,838064.809,798143.06,778654.14,826592.06,836731.475,813574.32,788887.6,830855.6,851713.801,826398.886,794696.628,831927.624,874215.332,845322.465,813838.97,849398.051,882619.587,874286.58,835236.452,882922.703,916645.002,875686.198,855086.681,903118.877,932030.363,914590.065,882691.426,917543.22,956337.466,933600.883,900347.235,932417.682,972898.249,923676.459,891129.525,937796.506,973105.522,952057.251,932309.598,969921.167,993539.98,982115.791,948673.983,977833.298,986030.066,961550.42
14,312 - Industria de las bebidas y del tabaco,160954.42,193257.03,194357.43,190324.108,173830.421,205393.552,197689.45,190587.913,182643.191,207241.903,199580.236,194391.814,181809.219,205885.729,203219.389,195974.699,181932.217,214251.955,211562.773,201955.043,184421.492,214297.428,224341.209,219629.666,200148.977,232136.736,234792.666,229317.88,207090.063,240063.894,241301.067,237309.535,215458.543,254061.244,250632.896,240544.805,226098.061,258997.14,260545.264,247214.652,220174.283,192690.274,261487.605,251092.768,222211.576,254865.41,268504.962,259809.936,237569.546,267731.119,282161.508,265100.063,230862.88,251026.599
15,313 - Fabricación de insumos textiles y acabado de textiles,30568.433,30740.889,34144.566,33067.84,30872.783,29326.143,31590.027,30303.027,30148.124,30355.134,32883.613,32063.95,30067.102,30869.202,31381.383,30400.046,30319.794,29390.119,32028.84,30943.742,31114.238,31977.05,33969.745,31580.566,31401.281,32710.29,33954.311,31026.115,32288.426,31651.625,32741.499,30725.122,31640.053,33109.09,33565.847,31739.327,31707.012,31370.056,31007.157,29037.26,28146.395,11420.038,22961.338,25370.004,26040.011,28512.354,30340.377,30500.194,30529.997,29884.342,29760.813,26171.326,25844.685,25535.029
16,"314 - Fabricación de productos textiles, excepto prendas de vestir",13994.929,16168.646,15977.111,15955.17,13879.77,15064.105,17001.894,15401.46,14095.867,15537.13,17523.38,15777.054,14061.44,16546.973,16797.64,14752.875,14979.719,16258.982,17109.804,16472.763,15425.274,18071.689,18212.489,17175.663,17344.174,18864.046,18305.433,17221.728,14932.522,16097.088,16566.396,16589.758,15576.261,17590.822,18724.662,17422.771,15891.46,16201.033,16739.976,16427.563,15767.82,10529.059,16255.487,15865.601,16017.25,16024.131,17132.115,16319.656,16239.431,15674.059,16175.483,14738.78,15832.74,16004.942
17,315 - Fabricación de prendas de vestir,63764.582,67219.523,69576.709,66764.586,60430.308,62138.543,66002.734,66012.39,62317.174,61723.193,68821.957,68326.927,59884.829,64739.664,71376.795,70560.885,65137.022,64838.964,71815.041,69415.186,64198.832,66930.633,76056.091,73717.245,66511.623,68881.888,72763.121,71331.055,69087.446,68595.325,71658.925,70818.718,66213.546,71443.018,73681.484,73393.196,69197.242,69979.745,69109.733,66330.941,55954.589,34026.147,48466.938,50658.066,50798.35,56483.779,58468.471,60402.167,55478.531,58912.716,60096.342,56732.939,49606.001,52419.285
18,"316 - Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",33400.618,33388.774,34025.396,31928.6,33146.934,31751.56,33093.945,32155.51,35372.175,32747.873,33557.538,32144.815,31838.369,32715.124,32998.488,32072.699,32401.481,32497.537,35543.698,33769.482,33686.298,33761.71,34831.707,33472.013,32441.819,33491.728,32832.275,31670.07,31970.392,31089.839,32194.179,31091.146,29699.093,32183.478,32728.24,31137.017,30199.938,31132.017,31438.904,27681.635,25120.5,13326.917,22039.378,22618.681,23072.721,24200.21,26667.919,26131.035,26069.032,26553.686,28932.969,27120.201,26757.048,26870.771
19,321 - Industria de la madera,31872.932,37844.316,32304.275,32266.056,34208.673,40131.609,34179.165,31622.04,35891.666,43744.631,38436.565,38465.878,37148.845,40875.087,37407.642,36520.761,35732.195,41126.752,36370.919,34896.614,38638.355,41925.923,37121.352,37169.278,37968.649,42305.458,37088.2,36469.382,40328.14,42494.383,38554.509,35651.612,39643.866,41575.77,38609.77,35521.843,42025.349,39223.891,38648.846,35757.182,37399.138,32457.697,34956.405,36460.8,39970.034,41933.765,40115.708,38750.981,39504.853,40397.318,37565.053,37306.89,36519.432,34707.691
20,322 - Industria del papel,76562.421,78460.16,78024.64,76950.93,78316.522,78045.536,77624.397,76379.325,80319.873,81830.529,81520.906,80820.108,82036.926,82881.456,82475.807,82817.572,86055.892,86383.652,86738.829,88901.475,90393.272,90281.921,91096.812,92673.635,95098.217,95849.949,94305.792,95122.855,99535.054,98634.758,99761.282,98459.487,100252.052,102942.849,101782.636,101470.35,104066.979,101311.574,99983.833,97645.377,101380.871,91742.274,94955.524,96221.847,98713.541,105348.05,107159.404,107629.744,106581.633,108428.044,108910.322,105429.962,105447.505,103867.081
21,323 - Impresión e industrias conexas,19687.894,23931.746,24929.719,27156.345,21207.966,22838.271,25485.592,28661.534,20530.603,24219.779,25871.515,23368.963,19353.893,21725.15,22311.145,23126.42,19032.403,21278.053,23125.917,25847.927,21464.277,22109.961,23055.165,25223.537,21533.894,24185.671,24070.004,24270.89,22016.717,22682.335,25072.329,25587.014,22605.586,25671.349,25483.447,24814.854,22023.037,22157.569,22793.767,21628.607,19736.783,18046.842,19262.702,20260.868,20621.743,23539.987,25073.46,25308.562,22906.006,24137.75,25518.993,25621.001,22614.137,24126.925
22,324 - Fabricación de productos derivados del petróleo y del carbón,329109.691,330447.109,319727.089,286613.183,306434.81,304532.364,304199.605,302578.465,311494.99,322468.053,304032.032,305538.137,310505.408,342329.045,317755.684,314513.431,301347.591,325025.856,308594.853,281102.02,277578.049,278278.126,282782.685,278588.568,279085.198,270119.441,226002.72,205467.725,237805.778,233587.879,175909.398,148924.529,156484.708,192101.5,171329.061,137832.519,144860.313,165443.545,172365.726,151608.227,142083.234,166059.82,142922.119,149393.067,188437.504,165759.806,178422.678,188592.864,211028.862,203263.708,205904.337,215808.877,214176.915,209728.233
23,325 - Industria química,372332.848,382880.074,372399.82,368415.133,354923.062,379796.117,370365.808,359648.76,361880.078,383858.11,372670.603,360689.159,356564.45,380174.661,380779.445,363893.028,362427.327,372164.991,368789.456,362978.213,355559.478,365298.884,368623.503,357347.787,351826.275,368384.652,368966.312,351479.437,358566.767,362147.88,357500.179,349014.325,354188.742,365240.946,356958.925,349233.794,341699.887,351969.999,355919.387,342816.925,346779.325,320532.099,340936.334,341931.581,336186.674,339128.896,358707.42,358939.662,362678.822,362159.899,362561.928,350567.9,373253.522,347244.305
24,326 - Industria del plástico y del hule,108043.055,114375.378,119597.09,115341.649,119086.177,121822.897,127764.966,122415.452,130805.719,135532.315,135804.028,128184.022,124406.118,130104.698,128504.509,121573.943,128748.584,132236.883,132707.732,130322.417,136646.915,138019.321,141565.75,137883.297,144062.009,146847.034,147482.638,141779.191,148952.07,148445.178,148662.816,143900.244,148385.489,154805.111,154016.221,149206.911,152317.523,153139.608,154216.06,141722.513,147391.155,111347.084,150555.367,151823.718,160445.569,165221.82,167473.591,161458.413,167692.123,169867.302,170862.957,162371.549,163411.721,164752.616
25,327 - Fabricación de productos a base de minerales no metálicos,124304.028,138052.351,134974.315,139420.789,132881.485,145591.41,140596.716,145325.897,140328.472,146239.274,148605.915,144605.086,133873.89,142004.994,138598.242,139681.781,138326.434,145277.811,147104.153,148432.716,148055.559,155789.383,157895.309,155487.456,149830.61,162305.432,161317.098,159029.295,155185.433,158970.171,156788.782,157807.517,154422.142,161291.091,159986.49,154684.687,151281.748,157934.607,156596.182,152669.449,151791.751,126774.344,156342.107,162941.325,161159.365,169302.836,164648.42,165589.371,164618.153,168262.997,167000.157,169631.119,164160.053,165026.008
26,331 - Industrias metálicas básicas,238754.379,248055.495,248748.44,235827.914,240337.762,246404.254,253897.022,249084.611,263411.943,262914.897,260894.721,244396.179,252156.103,250831.226,254146.062,245074.296,280453.779,278412.238,271900.693,279146.656,270720.795,273921.86,280249.298,262999.838,272102.866,269273.749,267268.932,270828.345,285435.526,276857.852,274943.762,266686.19,263218.049,269580.755,253561.403,242739.311,258082.242,249542.304,253434.455,237971.985,248145.916,212085.789,223783.838,247760.612,251616.609,258047.32,253847.451,259862.063,263477.134,271676.94,257080.164,273415.643,273649.417,262327.394
27,332 - Fabricación de productos metálicos,149261.687,158011.786,171814.568,164456.422,166237.51,166802.08,179564.727,176281.74,172267.929,174788.393,184465.116,175684.411,155462.465,166253.67,167024.65,159548.013,164496.498,169676.065,178966.432,175854.844,180131.233,182101.844,184242.904,178428.1,179668.493,181301.107,181399.519,182038.02,181893.749,174739.194,171421.693,165057.015,167118.169,174980.963,171466.03,169283.951,171099.712,176178.838,177004.097,173240.25,174033.041,126799.863,178779.481,181630.05,187633.14,185315.692,183600.239,180349.315,183299.842,180649.042,181666.861,176475.913,181528.029,190713.104
28,333 - Fabricación de maquinaria y equipo,170731.823,187997.875,195822.792,199669.699,194066.171,205574.001,206889.706,204022.567,223821.22,219212.372,203442.925,190997.462,192055.157,195731.487,186773.887,174338.209,188129.159,190302.549,192378.067,183548.325,191290.354,191292.337,193793.483,183301.497,189176.947,200855.053,184564.071,186554.292,199376.722,203951.337,206804.982,198603.171,205470.652,214178.157,210009.459,205690.105,213827.886,214182.84,212457.167,186958.38,188467.679,150964.869,170258.932,186021.429,188800.676,203835.948,211832.322,206698.894,210971.417,219343.404,225434.056,223177.655,226410.545,227043.712
29,"334 - Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",275740.728,292614.416,284914.904,278137.222,266382.62,271656.967,293490.068,302777.463,292325.678,290946.15,301860.612,298557.163,282397.048,310659.21,315583.675,317061.99,311979.001,329398.436,357330.654,367027.643,364539.6,360698.513,400184.873,405429.598,378564.041,370440.733,411000.944,404594.899,404411.831,400115.768,413352.592,407527.332,396506.756,400974.732,420635.606,419061.538,440164.675,441284.507,448651.771,421184.55,427212.217,328512.289,407239.027,411820.914,436055.31,433296.17,432869.229,423517.498,448524.125,468244.899,493179.159,482242.014,473561.785,476657.774
30,"335 - Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",203446.975,198716.414,234846.737,205425.492,201239.372,193882.818,225042.776,209581.306,215511.407,200460.615,228749.414,190722.107,172662.471,170271.759,175598.839,159500.719,159115.052,175469.96,173424.967,163751.622,161731.68,166896.105,184299.451,165315.184,155451.752,167308.818,172554.878,174100.372,170407.792,174107.415,183850.754,175244.234,170989.538,179049.799,188407.62,176009.18,171363.018,170160.253,174064.73,165257.21,162888.771,141025.33,180970.931,185501.32,186246.979,199215.114,200469.491,195184.066,199305.858,203999.183,202276.094,199153.774,200991.858,198252.322
31,336 - Fabricación de equipo de transporte,565687.91,607896.078,639036.951,663735.73,679692.416,682249.755,710309.535,716190.938,775613.092,786256.146,805134.27,789414.848,795045.397,857307.869,867795.375,841481.994,875950.882,942326.389,935137.835,944619.329,957051.095,1018170.814,997738.239,1008376.315,956315.825,1012740.381,1037823.334,1028058.544,1076704.965,1104973.98,1140479.242,1121318.915,1112544.562,1159643.153,1219723.385,1182091.923,1171176.523,1219036.837,1214899.728,1075886.188,1116908.46,471392.811,1112410.678,1122935.707,1075702.806,1076460.847,1006210.415,1022832.501,1130244.538,1132895.784,1212892.129,1185842.769,1238592.519,1288549.194
32,"337 - Fabricación de muebles, colchones y persianas",45648.402,47124.851,58142.946,52449.338,49141.02,48445.048,45881.933,63418.644,49852.989,53441.456,61266.05,57940.734,47086.617,51629.182,52789.244,59383.782,47797.656,47770.059,50636.346,61153.919,52378.879,54997.247,55343.1,59261.246,51849.417,54758.466,56174.649,56910.657,52238.631,51330.053,52014.156,57742.52,53127.585,54260.657,55465.29,59304.999,53662.764,53921.556,54423.991,57248.389,50362.153,34773.928,48742.506,54364.325,52960.566,54841.186,58155.25,63685.326,57043.688,55709.444,56028.219,57608.605,51530.801,51798.201
