,Año,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3,2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3,2019,2019.1,2019.2,2019.3,2020,2020.1,2020.2,2020.3,2021,2021.1,2021.2,2021.3,2022,2022.1,2022.2,2022.3,2023,2023.1
0,Columnas,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2
44,493 - Servicios de almacenamiento,24581.53,25879.954,24688.945,25175.731,25550.973,25629.788,24557.008,24706.043,25628.043,26185.265,25692.238,25469.622,26218.866,26432.498,26736.8,26988.86,28372.096,27913.889,28116.403,28501.468,29821.446,29254.471,29427.185,30128.998,30867.147,29980.543,30680.596,31418.306,31164.252,30727.933,30422.452,32916.683,29411.355,30564.741,30094.046,29318.357,27740.104,29582.686,30167.241,30005.308,30517.914,30712.603,30989.55,29273.382,30998.095,29865.113,30460.641,33825.115,29700.4,29112.897,32381.107,32020.857,27968.293,25335.962
45,"511 - Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión",13565.29,17261.386,18324.647,16235.749,14018.025,17375.045,19287.647,17349.035,14357.888,17874.129,19352.767,17330.228,13859.563,17866.479,18692.218,17403.168,14897.626,17995.81,18656.131,17270.849,15841.735,18537.064,18815.048,18627.108,14958.686,19050.393,19088.065,19073.616,14515.074,17992.938,18172.129,17873.607,12473.78,17472.628,18301.017,17146.548,11588.911,14568.968,17708.571,16019.49,12586.224,12161.802,14061.397,13723.621,11681.761,16612.78,15035.155,14459.856,14955.74,20635.995,15421.746,14573.124,13731.341,15241.208
46,"512 - Industria fílmica y del video, e industria del sonido",17967.941,26576.984,21311.79,17891.213,18834.43,28423.809,22641.621,18397.328,19414.125,31839.322,24231.003,20876.21,21023.082,31368.391,28169.89,22467.745,23055.602,33463.075,26327.246,23637.681,25914.727,35534.149,28193.881,26592.931,29612.344,36067.107,34851.157,31305.761,32658.957,38301.884,34821.679,35182.115,31633.315,43289.269,39107.794,33731.623,30160.827,44774.547,41047.334,38931.16,23874.232,5707.248,7955.054,13607.838,9461.081,16513.575,18859.949,17434.875,18698.178,30752.626,25573.725,23767.637,24252.073,51319.96
47,515 - Radio y televisión,27598.049,29978.863,38537.793,46750.491,30274.899,30204.768,38989.078,48159.086,29667.716,30463.379,39501.496,49677.853,28990.918,29778.92,39889.075,53117.175,30851.871,29675.385,37205.453,52920.779,34040.832,36439.254,39786.715,55520.707,33752.235,32919.226,36058.203,50556.603,33327.523,35700.946,39771.526,51955.229,33909.372,35403.516,44383.547,52774.633,33374.073,30894.801,37511.553,44981.552,23461.96,19334.451,30628.597,45061.335,23153.932,31035.593,47491.529,48912.826,37722.966,59219.869,65891.937,63474.708,44579.657,61003.637
48,517 - Telecomunicaciones,103591.252,105708.616,102973.978,108876.022,104405.404,109798.149,112987.406,116673.969,121297.038,124215.097,124873.334,136602.375,130923.908,129313.756,129294.706,136347.143,135044.875,141156.046,136786.791,147530.747,165883.77,174326.033,184924.357,204342.489,213201.284,220499.203,225658.884,238091.441,245117.78,249603.602,249546.865,259101.476,251111.93,265868.805,260344.067,288650.819,272693.419,274479.096,302335.059,324672.618,301582.696,295081.725,302289.3,337740.055,293855.773,322865.135,333183.152,346228.193,350301.552,363798.206,346206.068,358300.888,373914.551,398692.166
49,"518 - Procesamiento electrónico de información, hospedaje y otros servicios relacionados",9655.555,9482.184,8899.998,8355.414,9371.212,9709.674,9362.849,8926.676,8929.45,10072.46,9537.185,9167.025,8704.29,9695.852,8953.434,9531.377,8928.444,10151.514,9393.212,9290.65,9455.237,9945.03,8283.589,7846.044,6783.799,7476.629,7052.172,7256.524,7539.175,8086.152,7741.799,8395.662,7813.843,8613.699,8180.52,8669.51,8817.941,8533.152,9026.827,8891.132,8611.365,7412.104,7939.713,8220.855,8294.612,9154.223,9072.096,10216.16,9136.043,10009.247,10609.967,11204.35,10747.084,11947.866
50,519 - Otros servicios de información,2014.368,2543.978,2748.267,2928.031,2055.186,2387.667,2566.02,2605.143,2413.213,2738.035,2800.718,2682.766,2480.548,2514.859,2587.106,2761.744,2488.489,2822.148,2936.682,3050.936,2688.955,2905.139,3044.838,3177.835,2757.56,2873.601,2749.204,2703.796,2224.805,2195.817,2350.821,1942.305,1392.64,1510.542,1550.262,1709.023,1399.326,1236.948,1291.68,1475.974,1171.379,1100.645,1078.006,1238.566,1141.56,1178.819,1326.633,1451.756,1373.669,1384.297,1390.415,1445.317,1355.742,1295.293
51,521 - Banca central,27268.427,27914.83,28924.725,30136.934,30992.445,31860.436,32667.633,33249.866,33553.628,33587.344,34249.276,35136.907,36448.912,36608.303,36609.273,37369.28,37175.953,37244.785,37773.905,38863.741,39771.669,39847.973,39795.722,39621.324,39902.996,39493.367,39819.931,40526.738,41177.053,40795.184,40381.035,39550.752,37528.372,37362.013,37692.727,39730.348,42571.699,43070.998,44290.511,44182.536,43788.853,43941.595,43489.873,43224.602,43233.02,42877.718,42930.348,42821.09,41891.596,41579.772,41282.58,40596.135,40231.287,39673.994
52,522 - Instituciones de intermediación crediticia y financiera no bursátil,330530.964,362296.658,341254.739,368276.367,337315.788,333882.303,347318.115,400093.441,373950.194,363349.434,384754.902,420477.022,404125.487,432889.498,442881.546,481759.445,454514.521,456615.373,468376.308,509280.026,492162.008,494012.476,517468.48,569609.548,560410.089,561143.338,590479.718,642401.859,628589.552,630941.356,657296.003,684510.593,649337.766,652607.194,697218.787,715965.169,688269.55,676117.566,665565.77,649932.63,636978.57,607063.818,604331.51,606254.629,603871.301,637038.399,647313.851,635582.532,625675.963,652967.555,655668.958,663706.678,667983.266,692256.955
53,"523 - Actividades bursátiles, cambiarias y de inversión financiera",28819.883,28919.378,32249.07,43105.393,38352.117,40327.69,39880.446,42282.983,35862.496,29948.396,29115.897,41150.152,55663.225,49572.707,44795.307,47254.229,30609.588,30590.162,24158.068,25146.154,24319.943,28345.345,24157.398,20674.338,25803.982,21553.229,21284.574,23934.803,27172.747,23884.709,23288.546,27189.43,23579.625,23059.297,20001.882,25085.86,26662.813,27009.626,24264.313,26596.176,21170.528,26632.504,24219.708,25575.008,22397.014,21772.155,21061.768,23428.864,24173.089,21071.185,16488.233,20801.466,19951.236,22497.825
54,"524 - Compañías de seguros, fianzas, y administración de fondos para el retiro",73370.018,75719.708,79090.101,82713.645,82264.343,82747.785,83620.784,79856.916,84709.42,83892.836,85168.67,87595.61,96606.31,105203.205,106692.429,106970.304,106679.3,109125.006,108664.886,109041.384,113135.832,117932.916,118335.756,121516.416,129360.154,136719.627,140142.329,138328.554,139523.933,139728.935,140667.182,138909.798,141729.728,143624.525,148452.257,153664.479,160679.654,158765.134,163445.358,168565.095,172373.794,160401.504,161377.17,163346.651,170478.617,158623.032,160373.244,162121.672,168697.839,160044.106,161352.184,161788.111,171589.083,163518.427
55,531 - Servicios inmobiliarios,1661189.483,1725642.754,1761055.261,1797463.097,1729998.407,1767020.848,1798351.372,1849669.465,1772663.526,1809392.653,1848232.611,1889773.702,1800862.298,1826805.265,1864097.703,1899176.238,1841534.788,1864517.499,1901817.214,1929919.575,1869007,1922498.53,1948135.93,1973750.908,1914659.867,1964551.321,1980110.333,2004817.207,1993277.104,2007227.582,2003561.733,2002829.717,1999149.506,2037228.535,2054109.376,2057020.303,2046641.543,2060108.105,2071265.383,2108447.249,2088219.04,2016957.859,2072106.859,2123748.998,2116453.733,2130175.836,2147835.578,2185889.825,2133801.021,2161159.854,2188504.409,2237925.398,2170766.049,2200545.006
56,532 - Servicios de alquiler de bienes muebles,31676.781,20006.167,45106.03,29828.434,33226.03,20407.493,47248.495,31161.546,35374.28,21500.712,48391.237,29503.999,33796.337,21267.589,46229.758,28766.361,31814.329,23055.788,55010.38,35874.383,42064.351,33126.636,43397.728,32783.857,33791.125,30021.67,49796.332,35986.049,30165.955,27282.493,35253.531,40856.633,44726.988,32419.635,30835.021,28859.723,33500.649,32148.671,33022.493,28979.083,35118.325,23043.072,25188.857,21671.91,22345.408,21641.708,28036.403,25993.341,18054.631,27537.637,30015.258,31923.62,18327.299,31475.756
57,"533 - Servicios de alquiler de marcas registradas, patentes y franquicias",37282.114,39574.592,42991.182,36980.856,37912.538,40436.899,45554.403,38857.968,40301.034,43731.577,48873.111,41383.126,41611.989,44344.96,51849.682,45390.901,45415.816,46856.121,49419.755,51093.556,45525.538,51650.311,52286.019,55717.613,47109.564,55342.877,54482.295,57905.464,50165.403,50876.653,49674.503,50913.021,46528.03,51883.042,49534.453,50345.763,46336.791,49331.269,53438.652,51898.783,51726.698,35992.211,43165.912,45292.335,42033.743,44689.375,50658.791,50899.535,49324.594,35317.296,60667.401,64138.353,58298.493,35628.698
58,561 - Servicios de apoyo a los negocios,590004.931,588038.794,581782.768,624084.619,612475.917,621736.549,622332.833,660636.576,628011.024,645250.246,640314.394,710657.187,669494.966,673214.825,663965.903,733943.582,669563.722,682205.958,670249.524,715818.957,679199.497,689361.424,671808.229,719306.414,687843.816,689213.906,665157.57,749231.653,727494.068,721460.95,729764.693,811294.061,741897.797,765062.745,780590.091,827455.57,788827.902,786367.247,805673.574,863352.173,795604.198,728119.794,801390.855,876686.865,874257.9,791204.992,396597.782,299538.086,276710.493,264875.812,263870.888,258968.948,250433.484,233099.218
59,562 - Manejo de residuos y servicios de remediación,11664.874,12581.231,15474.183,13372.72,11458.7,12355.209,15069.22,13329.583,11477.638,12510.753,14087.321,14014.652,12163.647,13353.374,13868.22,13199.34,12149.256,12162.965,12347.424,12639.443,12992.821,13784.997,13603.455,13788.375,13227.1,14430.313,13831.803,14824.72,14077.543,13911.129,15214.412,14715.776,14051.47,14740.66,15064.351,15205.231,14525.575,14729.756,15361.501,16209.728,15333.057,12533.9,15928.85,17448.509,18273.684,18410.962,18823.231,19043.479,18536.597,17640.113,15334.548,15986.953,18638.313,22080.539
60,621 - Servicios médicos de consulta externa y servicios relacionados,207062.034,198302.054,211913.428,218111.776,213400.59,205314.615,220736.113,219832.742,218162.083,208236.4,226695.696,225523.669,226760.202,215636.63,228335.724,226779.385,230409.883,217446.904,232128.099,231558.11,232959.942,223134.462,235284.518,236817.817,235706.842,226559.97,236646.368,234831.404,237799.314,232908.034,244663.008,242598.792,242458.448,237040.035,254759.877,247852.653,251235.952,243639.294,253956.544,245996.318,233413.607,218248.544,241310.268,242672.688,240685.66,260125.428,253697.323,246882.022,249775.179,267221.016,256577.886,247458.971,246505.625,266602.316
61,622 - Hospitales,259406.161,250598.985,269273.022,270194.939,270419.839,258104.211,275426.969,273634.43,276136.218,264634.506,283286.301,282153.427,282346.864,265506.814,281848.978,280076.48,280343.583,263514.366,276853.633,270191.357,264001.225,247543.49,262752.384,264556.653,269940.01,262546.49,279732.596,278247.872,275638.685,264381.699,278245.855,277237.112,279446.078,273149.689,289131.055,291009.498,291277.538,283871.719,294085.775,291230.428,284722.526,289013.979,309915.944,312897.702,311143.453,314553.674,322756.519,310657.591,312716.555,324705.417,321705.489,314157.573,318196.75,329558.207
62,623 - Residencias de asistencia social y para el cuidado de la salud,2682.238,2632.741,2705.33,3238.45,2678.784,2658.115,2640.206,3209.115,2673.136,2745.055,2773.899,3171.63,2710.938,2754.659,2692.981,3057.274,2648.476,2621.516,2652.416,2872.232,2634.033,2682.063,2590.191,2849.357,2665.756,2626.811,2647.67,2976.69,2552.796,2609.691,2656.962,3030.663,2751.314,2674.146,2776.985,2831.743,2667.523,2603.831,2537.558,2605.477,2515.358,2268.77,2257.659,2361.601,2343.239,2379.582,2336.466,2373.353,2435.519,2323.213,2401.617,2510.204,2532.941,2380.187
63,624 - Otros servicios de asistencia social,17451.15,18454.838,17029.162,17626.938,16936.298,17800.909,16460.15,17225.358,16823.596,17904.184,16650.732,17389.86,16883.709,17862.175,16535.237,17210.842,16726.758,17686.213,16402.034,17115.099,16638.549,17583.595,16298.801,16964.591,16311.022,17649.319,16206.531,16383.132,16095.152,17087.517,15722.024,16236.931,16131.867,17798.157,15666.295,15231.505,14161.684,15363.154,15229.759,18546.084,21642.944,9959.368,9307.4,10976.875,11468.474,13266.738,14695.469,16722.658,17046.196,18323.386,17295.915,18452.371,19958.272,18580.604
64,"711 - Servicios artísticos, culturales y deportivos, y otros servicios relacionados",45315.56,40255.924,31225.105,40986.427,46759.629,40534.782,30612.142,41348.614,45692.495,42427.833,32542.815,45024.153,49345.811,43408.394,34875.727,45374.1,48807.493,43154.198,36798.93,45667.724,48215.342,47563.404,39777.387,47140.02,50466.74,51339.981,42365.55,50127.964,51184.946,51501.355,42972.915,54818.379,53187.798,53838.52,46041.167,53039.323,51921.069,52495.669,46013.083,54972.231,47551.742,20816.013,21636.384,27686.677,33592.44,37985.043,30943.595,43335.93,32781.195,38044.299,47135.632,65426.684,43430.902,49671.48
65,"712 - Museos, sitios históricos, zoológicos y similares",7332.03,7750.448,7038.47,5627.999,7008.427,7756.662,7167.136,5735.687,7506.335,8372.575,7880.893,6124.632,7767.703,7631.323,7138.497,6173.72,7077.418,7901.942,6990.49,6137.062,7610.727,8567.112,7745.044,6060.237,6738.554,7949.292,8964.359,7055.996,7088.199,9039.012,7544.923,6521.898,8485.858,8840.82,7601.04,5197.986,3114.983,4273.323,8298.584,14049.842,19992.275,846.254,1724.032,3179.33,3228.25,8028.941,6904.297,9013.328,9271.724,14345.332,16070.202,14074.273,14179.257,17441.444
66,713 - Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,54898.967,53968.349,53369.698,50123.753,54897.877,53976.371,52061.853,48796.82,53821.731,53448.796,53641.899,51921.934,55724.154,55034.478,54795.48,55247.984,53147.228,54267.753,54138.408,53002.515,54360.761,54322.908,53991.184,54692.083,52745.838,54295.94,58168.487,56328.839,56401.553,56106.666,55242.679,54693.018,57130.539,55304.876,57338.703,56092.346,53346.623,54059.549,54440.588,56129.352,49887.919,6623.26,20267.016,34150.077,29362.587,38922.013,42133.513,47253.775,58896.836,47361.78,52690.022,54073.764,68088.793,79164.749
67,721 - Servicios de alojamiento temporal,168996.7,166450.07,164322.299,160037.275,168303.14,169726.327,170329.525,169958.027,181445.597,182921.757,188096.743,185422.735,195606.689,189116.922,196391.862,193050.239,205932.075,208659.474,210979.469,213129.657,224405.313,227173.855,230809.994,230843.166,240121.808,230079.933,235585.68,235557.555,240979.972,250896.668,248993.852,245330.076,257087.982,253651.886,255330.786,252734.021,252189.44,259544.134,257914.424,263689.885,229183.542,16937.8,84006.212,130733.829,123118.503,185272.609,204587.442,242363.422,227383.684,265388.641,268224.448,278238.767,269452.357,274333.813
68,722 - Servicios de preparación de alimentos y bebidas,308456.696,322152.023,318838.374,317787.242,306909.852,323898.772,326962.983,325429.653,317536.751,337002.634,335232.11,333510.017,311223.064,324888.595,324947.024,334106.053,308272.135,309816.069,311594.549,320527.496,308194.792,330499.665,329918.325,342897.138,307952.7,319645.331,334782.646,357003.162,324861.416,338933.592,323672.908,322550.247,333187.78,337825.877,322248.222,323831.417,325244.177,341028.974,332139.849,336940.16,307058.055,169229.211,202208.682,237564.248,229702.459,259802.805,267847.301,290264.143,287253.768,322108.519,289143.712,303338.19,297045.188,330655.554
69,811 - Servicios de reparación y mantenimiento,112115.023,109614.04,108402.582,104665.303,111250.831,111624.575,111030.062,108047.388,111928.107,114915.644,111806.91,112090.484,113225.396,117635.725,115998.424,115035.816,113970.258,121736.825,115452.901,110519.436,107701.248,116276.392,119653.595,129195.197,115743.989,122347.212,120039.446,128298.764,115055.835,114656.981,116182.488,122776.827,109528.438,115849.487,123832.146,124389.484,109282.251,118268.244,122273.028,117568.701,102728.999,81449.065,105190.04,106339.364,94831.87,97293.416,120012.186,119461.771,99251.949,93473.614,128673.425,123558.039,111588.735,92428.848
70,812 - Servicios personales,146242.374,148424.092,148308.191,148982.807,146883.647,152204.718,152476.163,153770.565,150519.487,154975.402,156333.599,157242.272,153970.389,158851.009,161223.349,161805.905,158143.429,160511.542,164088.807,163282.766,166464.302,162579.184,165341.757,171700.053,170464.482,172935.477,172912.162,173614.686,173373.185,174914.665,173327.005,176499.797,178761.013,177656.007,172276.497,174079.779,182595.783,175305.128,180899.315,177003.105,178367.544,132296.732,149528.409,146805.027,157530.043,150027.09,172374.981,161311.75,170304.053,155233.643,174752.363,163836.119,175251.261,161005.3
71,813 - Asociaciones y organizaciones,50332.077,50883.809,47394.789,50096.766,49454.278,51856.791,49609.463,51692.849,51213.02,52491.82,50346.537,50108.051,53044.558,51934.273,51076.037,49577.643,48913.735,55872.576,52151.71,48701.779,49886.945,54368.656,53169.544,54451.946,54310.67,57944.885,47683.446,52279.471,54955.136,47912.886,53571.162,54307.109,53666.193,56158.218,58462.69,58499.011,64647.044,64239.422,52432.525,51638.145,60709.913,34235.27,39202.358,43894.467,50717.353,41249.772,48508.449,48517.186,54333.751,43436.603,44780.004,45775.834,52234.147,43221.393
72,814 - Hogares con empleados domésticos,87256.855,87829.591,88932.202,88887.625,87133.27,89005.26,90532.686,92157.104,93795.202,95885.962,98217.057,98965.202,97638.661,98354.517,98431.813,98708.641,96858.357,98642.633,100617.438,102039.452,102774.787,103656.118,105292.238,105533.165,104190.598,103707.095,104501.837,104054.789,102397.285,103004.473,103044.608,101517.314,98618.917,98530.342,100412.549,102699.336,102874.746,104375.299,105828.791,105534.281,102449.921,96599.14,94890.36,94718.152,94515.277,96538.867,94850.695,96024.345,95695.577,97141.057,97317.292,98705.896,98713.611,99617.323
73,"93 - Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",737981.088,787014.253,775919.848,830997.791,744186.313,775128.609,781604.204,868312.118,789249.98,826449.46,800343.69,876261.87,767753.357,786773.814,801571.774,886609.035,790214.894,792762.518,820245.551,898785.876,834195.547,821554.928,815471.069,889393.524,812855.117,820761.873,826957.993,906560.829,814755.377,810826.816,815102.106,896405.752,850264.764,862102.285,826029.376,883097.211,826919.847,814361.439,805640.045,884556.984,832935.211,825109.06,811929.808,871791.721,813684.168,816927.755,797496.118,858530.223,806466.562,812199.707,817037.882,851405.794,813498.864,818466.888
