Año,Unnamed: 0,sector_economico_1,sector_economico_2,ta,HWES1
2018-05-31,99,0.0,1.0,72676,66707.02239505363
2018-06-30,100,0.0,1.0,66519,66955.72979525973
2018-07-31,101,0.0,1.0,74416,66937.53272045724
2018-08-31,102,0.0,1.0,77336,67249.13552377152
2018-09-30,103,0.0,1.0,80390,67669.42154361437
2018-10-31,104,0.0,1.0,81898,68199.44564596377
2018-11-30,105,0.0,1.0,82917,68770.21874404862
2018-12-31,106,0.0,1.0,86566,69359.6679630466
2019-01-31,107,0.0,1.0,88534,70076.59846458632
2019-02-28,108,0.0,1.0,89154,70845.65686189523
2019-03-31,109,0.0,1.0,88781,71608.5044926496
2019-04-30,110,0.0,1.0,83441,72324.0251387892
2019-05-31,111,0.0,1.0,79230,72787.23242467298
2019-06-30,112,0.0,1.0,70330,73055.68107364494
2019-07-31,113,0.0,1.0,78529,72942.11102890974
2019-08-31,114,0.0,1.0,82644,73174.89806937185
2019-09-30,115,0.0,1.0,86254,73569.44398314803
2019-10-31,116,0.0,1.0,87168,74097.96715051687
2019-11-30,117,0.0,1.0,87038,74642.55185257866
2019-12-31,118,0.0,1.0,89815,75159.02885872121
2020-01-31,119,0.0,1.0,90229,75769.69432294117
2020-02-29,120,0.0,1.0,90491,76372.16539281863
2020-03-31,121,0.0,1.0,92091,76960.45016811785
2020-04-30,122,0.0,1.0,89623,77590.88974444628
2020-05-31,123,0.0,1.0,82566,78092.22767176102
2020-06-30,124,0.0,1.0,72306,78278.63485210431
2020-07-31,125,0.0,1.0,81555,78029.77506659996
2020-08-31,126,0.0,1.0,84571,78176.65943882497
2020-09-30,127,0.0,1.0,87868,78443.0902955406
2020-10-31,128,0.0,1.0,91070,78835.79486655975
2020-11-30,129,0.0,1.0,89141,79345.55341378643
2020-12-31,130,0.0,1.0,90879,79753.69702154533
2021-01-31,131,0.0,1.0,91852,80217.25131231429
2021-02-28,132,0.0,1.0,89875,80702.03250763453
2021-03-31,133,0.0,1.0,90131,81084.2394864831
2021-04-30,134,0.0,1.0,84617,81461.18784121297
2021-05-31,135,0.0,1.0,83074,81592.68001449577
2021-06-30,136,0.0,1.0,83743,81654.40168055845
2021-07-31,137,0.0,1.0,87987,81741.4266105352
2021-08-31,138,0.0,1.0,90653,82001.65883509624
2021-09-30,139,0.0,1.0,92825,82362.1313836339
2021-10-31,140,0.0,1.0,94695,82798.08424264914
2021-11-30,141,0.0,1.0,92102,83293.7890658721
2021-12-31,142,0.0,1.0,97140,83660.7978547941
2022-01-31,143,0.0,1.0,98642,84222.43127751102
2022-02-28,144,0.0,1.0,100243,84823.24664094805
2022-03-31,145,0.0,1.0,96108,85465.7363642419
2022-04-30,146,0.0,1.0,92092,85909.16401573182
2022-05-31,147,0.0,1.0,90670,86166.782181743
2022-06-30,148,0.0,1.0,87732,86354.4162575037
2022-07-31,149,0.0,1.0,90473,86411.81558010772
2022-08-31,150,0.0,1.0,94353,86581.03159760323
2022-09-30,151,0.0,1.0,96089,86904.86361436977
2022-10-31,152,0.0,1.0,96008,87287.53596377102
2022-11-30,153,0.0,1.0,94055,87650.88863194722
2022-12-31,154,0.0,1.0,100760,87917.72660561609
2023-01-31,155,0.0,1.0,101439,88452.82133038208
2023-02-28,156,0.0,1.0,101871,88993.91210828284
2023-03-31,157,0.0,1.0,98363,89530.45743710439
2023-04-30,158,0.0,1.0,95347,89898.4800438917
2023-05-31,159,0.0,1.0,94157,90125.50170872956
2023-06-30,160,0.0,1.0,91508,90293.48080419916
2023-07-31,161,0.0,1.0,90842,90344.08577069086
2010-02-28,162,0.0,2.0,15525,15525.0
2010-03-31,163,0.0,2.0,15533,15525.0
2010-04-30,164,0.0,2.0,15637,15525.333333333334
2010-05-31,165,0.0,2.0,15710,15529.986111111111
2010-06-30,166,0.0,2.0,15874,15537.486689814816
2010-07-31,167,0.0,2.0,16081,15551.508077739198
2010-08-31,168,0.0,2.0,16223,15573.570241166732
2010-09-30,169,0.0,2.0,16472,15600.629814451453
2010-10-31,170,0.0,2.0,16585,15636.936905515977
2010-11-30,171,0.0,2.0,16373,15676.439534452811
2010-12-31,172,0.0,2.0,16401,15705.462887183945
2011-01-31,173,0.0,2.0,16525,15734.443600217948
2011-02-28,174,0.0,2.0,16660,15767.383450208867
2011-03-31,175,0.0,2.0,16652,15804.575806450164
2011-04-30,176,0.0,2.0,16896,15839.885147848076
2011-05-31,177,0.0,2.0,16894,15883.889933354407
2011-06-30,178,0.0,2.0,17005,15925.977852797972
2011-07-31,179,0.0,2.0,17181,15970.93710893139
2011-08-31,180,0.0,2.0,17191,16021.35639605925
2011-09-30,181,0.0,2.0,17204,16070.091546223448
2011-10-31,182,0.0,2.0,17197,16117.337731797472
2011-11-30,183,0.0,2.0,17143,16162.323659639243
2011-12-31,184,0.0,2.0,17128,16203.185173820943
2012-01-31,185,0.0,2.0,17122,16241.719124911737
2012-02-29,186,0.0,2.0,17181,16278.397494707082
2012-03-31,187,0.0,2.0,17239,16316.00593242762
2012-04-30,188,0.0,2.0,17198,16354.46401857647
2012-05-31,189,0.0,2.0,17124,16389.611351135783
2012-06-30,190,0.0,2.0,17101,16420.21087817179
2012-07-31,191,0.0,2.0,16857,16448.5770915813
2012-08-31,192,0.0,2.0,16762,16465.594712765414
2012-09-30,193,0.0,2.0,16877,16477.944933066858
2012-10-31,194,0.0,2.0,17110,16494.572227522407
2012-11-30,195,0.0,2.0,17219,16520.215051375642
2012-12-31,196,0.0,2.0,17343,16549.331090901658
2013-01-31,197,0.0,2.0,17365,16582.400628780757
2013-02-28,198,0.0,2.0,17454,16615.00893591489
2013-03-31,199,0.0,2.0,17201,16649.96689691844
2013-04-30,200,0.0,2.0,17279,16672.926609546837
2013-05-31,201,0.0,2.0,16121,16698.179667482385
2013-06-30,202,0.0,2.0,15245,16674.130514670618
2013-07-31,203,0.0,2.0,15214,16614.583409892675
2013-08-31,204,0.0,2.0,14969,16556.225767813816
2013-09-30,205,0.0,2.0,13674,16490.091360821574
2013-10-31,206,0.0,2.0,13878,16372.754220787343
2013-11-30,207,0.0,2.0,13798,16268.806128254537
2013-12-31,208,0.0,2.0,14205,16165.855872910597
2014-01-31,209,0.0,2.0,13962,16084.153544872655
2014-02-28,210,0.0,2.0,14196,15995.730480502962
2014-03-31,211,0.0,2.0,14557,15920.741710482005
2014-04-30,212,0.0,2.0,14470,15863.919139211921
2014-05-31,213,0.0,2.0,14783,15805.83917507809
2014-06-30,214,0.0,2.0,15107,15763.220876116504
2014-07-31,215,0.0,2.0,15388,15735.87833961165
2014-08-31,216,0.0,2.0,15481,15721.383408794498
2014-09-30,217,0.0,2.0,15958,15711.36743342806
2014-10-31,218,0.0,2.0,16284,15721.643790368558
2014-11-30,219,0.0,2.0,16621,15745.075299103202
2014-12-31,220,0.0,2.0,16513,15781.572161640568
2015-01-31,221,0.0,2.0,16831,15812.04832157221
2015-02-28,222,0.0,2.0,17069,15854.504641506703
2015-03-31,223,0.0,2.0,17179,15905.108614777258
2015-04-30,224,0.0,2.0,17262,15958.187422494873
2015-05-31,225,0.0,2.0,16813,16012.512946557588
2015-06-30,226,0.0,2.0,16957,16045.866573784355
2015-07-31,227,0.0,2.0,17124,16083.83046654334
2015-08-31,228,0.0,2.0,17171,16127.170863770702
2015-09-30,229,0.0,2.0,17325,16170.663744446923
2015-10-31,230,0.0,2.0,17503,16218.761088428302
2015-11-30,231,0.0,2.0,17459,16272.271043077122
2015-12-31,232,0.0,2.0,17497,16321.71808294891
2016-01-31,233,0.0,2.0,17561,16370.688162826038
2016-02-29,234,0.0,2.0,17663,16420.284489374953
2016-03-31,235,0.0,2.0,17729,16472.064302317664
2016-04-30,236,0.0,2.0,17797,16524.43662305443
2016-05-31,237,0.0,2.0,17883,16577.46009709383
2016-06-30,238,0.0,2.0,17842,16631.857593048255
2016-07-31,239,0.0,2.0,17833,16682.280193337912
2016-08-31,240,0.0,2.0,17761,16730.226851948835
2016-09-30,241,0.0,2.0,17762,16773.175733117634
2016-10-31,242,0.0,2.0,17851,16814.376744237732
2016-11-30,243,0.0,2.0,17786,16857.569379894496
2016-12-31,244,0.0,2.0,20067,16896.253989065557
2017-01-31,245,0.0,2.0,19292,17028.368406187827
2017-02-28,246,0.0,2.0,19266,17122.686389263334
2017-03-31,247,0.0,2.0,19272,17211.99112304403
2017-04-30,248,0.0,2.0,19357,17297.82482625053
2017-05-31,249,0.0,2.0,19338,17383.623791823426
2017-06-30,250,0.0,2.0,19470,17465.056133830785
2017-07-31,251,0.0,2.0,19497,17548.595461587836
2017-08-31,252,0.0,2.0,17664,17629.778984021676
2017-09-30,253,0.0,2.0,17816,17631.20485968744
2017-10-31,254,0.0,2.0,18055,17638.904657200463
2017-11-30,255,0.0,2.0,18033,17656.241963150445
2017-12-31,256,0.0,2.0,18206,17671.940214685845
2018-01-31,257,0.0,2.0,19623,17694.1927057406
2018-02-28,258,0.0,2.0,19705,17774.559676334742
2018-03-31,259,0.0,2.0,19864,17854.994689820796
2018-04-30,260,0.0,2.0,19957,17938.703244411598
2018-05-31,261,0.0,2.0,20078,18022.798942561116
2018-06-30,262,0.0,2.0,20151,18108.4323199544
2018-07-31,263,0.0,2.0,20261,18193.53930662297
2018-08-31,264,0.0,2.0,20137,18279.683502180345
2018-09-30,265,0.0,2.0,20548,18357.0716895895
2018-10-31,266,0.0,2.0,20562,18448.360369189937
2018-11-30,267,0.0,2.0,20438,18536.428687140356
2018-12-31,268,0.0,2.0,20418,18615.660825176175
2019-01-31,269,0.0,2.0,20515,18690.758290793834
2019-02-28,270,0.0,2.0,20526,18766.76836201076
2019-03-31,271,0.0,2.0,20458,18840.069680260312
2019-04-30,272,0.0,2.0,20487,18907.4834435828
2019-05-31,273,0.0,2.0,20462,18973.296633433518
2019-06-30,274,0.0,2.0,21032,19035.325940373787
2019-07-31,275,0.0,2.0,21369,19118.520692858212
2019-08-31,276,0.0,2.0,21679,19212.29066398912
2019-09-30,277,0.0,2.0,21774,19315.07021965624
2019-10-31,278,0.0,2.0,21867,19417.525627170566
2019-11-30,279,0.0,2.0,21543,19519.587059371792
2019-12-31,280,0.0,2.0,21590,19603.89593189797
2020-01-31,281,0.0,2.0,21742,19686.650268068886
2020-02-29,282,0.0,2.0,21882,19772.289840232686
2020-03-31,283,0.0,2.0,22186,19860.194430222993
2020-04-30,284,0.0,2.0,22244,19957.102995630372
2020-05-31,285,0.0,2.0,22210,20052.390370812438
2020-06-30,286,0.0,2.0,22141,20142.290772028588
2020-07-31,287,0.0,2.0,21997,20225.570323194064
2020-08-31,288,0.0,2.0,21878,20299.37989306098
2020-09-30,289,0.0,2.0,21533,20365.155730850107
2020-10-31,290,0.0,2.0,22002,20413.81590873135
2020-11-30,291,0.0,2.0,21774,20479.990245867546
2020-12-31,292,0.0,2.0,21679,20533.9073189564
2021-01-31,293,0.0,2.0,21734,20581.619513999885
2021-02-28,294,0.0,2.0,22142,20629.63536758322
2021-03-31,295,0.0,2.0,22414,20692.65056060059
2021-04-30,296,0.0,2.0,23070,20764.3734539089
2021-05-31,297,0.0,2.0,23890,20860.441226662693
2021-06-30,298,0.0,2.0,23245,20986.672842218417
2021-07-31,299,0.0,2.0,23429,21080.769807125984
2021-08-31,300,0.0,2.0,23376,21178.612731829067
2021-09-30,301,0.0,2.0,23356,21270.170534669523
2021-10-31,302,0.0,2.0,23541,21357.080095724963
2021-11-30,303,0.0,2.0,23294,21448.07675840309
2021-12-31,304,0.0,2.0,23545,21524.990226802962
2022-01-31,305,0.0,2.0,23728,21609.157300686173
2022-02-28,306,0.0,2.0,23739,21697.442413157583
2022-03-31,307,0.0,2.0,23648,21782.507312609352
2022-04-30,308,0.0,2.0,23489,21860.236174583963
2022-05-31,309,0.0,2.0,23288,21928.101333976298
2022-06-30,310,0.0,2.0,23374,21984.76377839395
2022-07-31,311,0.0,2.0,23221,22042.64862096087
2022-08-31,312,0.0,2.0,23448,22091.7465950875
2022-09-30,313,0.0,2.0,23820,22148.257153625524
2022-10-31,314,0.0,2.0,23917,22217.913105557793
2022-11-30,315,0.0,2.0,23769,22288.708392826222
2022-12-31,316,0.0,2.0,23747,22350.387209791796
2023-01-31,317,0.0,2.0,23828,22408.579409383805
2023-02-28,318,0.0,2.0,23916,22467.721933992812
2023-03-31,319,0.0,2.0,23993,22528.06685340978
2023-04-30,320,0.0,2.0,23967,22589.105734517703
2023-05-31,321,0.0,2.0,23892,22646.517995579467
2023-06-30,322,0.0,2.0,23944,22698.41307909699
2023-07-31,323,0.0,2.0,24376,22750.312534134617
2010-02-28,324,0.0,3.0,448,448.0
2010-03-31,325,0.0,3.0,517,448.00000000000006
2010-04-30,326,0.0,3.0,505,450.8750000000001
2010-05-31,327,0.0,3.0,420,453.1302083333335
2010-06-30,328,0.0,3.0,387,451.74978298611126
2010-07-31,329,0.0,3.0,382,449.05187536168995
2010-08-31,330,0.0,3.0,355,446.25804722161956
2010-09-30,331,0.0,3.0,370,442.45562858738543
2010-10-31,332,0.0,3.0,398,439.43664406291106
2010-11-30,333,0.0,3.0,373,437.7101172269564
2010-12-31,334,0.0,3.0,392,435.0138623424999
2011-01-31,335,0.0,3.0,427,433.2216180782291
2011-02-28,336,0.0,3.0,481,432.9623839916362
2011-03-31,337,0.0,3.0,460,434.9639513253181
2011-04-30,338,0.0,3.0,466,436.0071200200965
2011-05-31,339,0.0,3.0,378,437.25682335259256
2011-06-30,340,0.0,3.0,364,434.78778904623454
2011-07-31,341,0.0,3.0,354,431.8382978359748
2011-08-31,342,0.0,3.0,352,428.59503542614254
2011-09-30,343,0.0,3.0,346,425.40357561672
2011-10-31,344,0.0,3.0,374,422.0950932993567
2011-11-30,345,0.0,3.0,362,420.0911310785501
2011-12-31,346,0.0,3.0,378,417.67066728361056
2012-01-31,347,0.0,3.0,375,416.0177228134601
2012-02-29,348,0.0,3.0,431,414.30865102956597
2012-03-31,349,0.0,3.0,458,415.00412390333406
2012-04-30,350,0.0,3.0,626,416.79561874069515
2012-05-31,351,0.0,3.0,547,425.51246795983286
2012-06-30,352,0.0,3.0,488,430.5744484615065
2012-07-31,353,0.0,3.0,483,432.9671797756104
2012-08-31,354,0.0,3.0,454,435.05188061829335
2012-09-30,355,0.0,3.0,471,435.84138559253114
2012-10-31,356,0.0,3.0,445,437.306327859509
2012-11-30,357,0.0,3.0,451,437.6268975320295
2012-12-31,358,0.0,3.0,460,438.1841101348616
2013-01-31,359,0.0,3.0,512,439.09310554590905
2013-02-28,360,0.0,3.0,541,442.1308928148295
2013-03-31,361,0.0,3.0,614,446.250438947545
2013-04-30,362,0.0,3.0,621,453.24000399139726
2013-05-31,363,0.0,3.0,601,460.23000382508906
2013-06-30,364,0.0,3.0,493,466.09542033237705
2013-07-31,365,0.0,3.0,503,467.2164444851947
2013-08-31,366,0.0,3.0,493,468.70742596497826
2013-09-30,367,0.0,3.0,481,469.7196165497709
2013-10-31,368,0.0,3.0,501,470.1896325268638
2013-11-30,369,0.0,3.0,485,471.4733978382445
2013-12-31,370,0.0,3.0,495,472.037006261651
2014-01-31,371,0.0,3.0,526,472.99379766741555
2014-02-28,372,0.0,3.0,596,475.2023894312733
2014-03-31,373,0.0,3.0,585,480.23562320497024
2014-04-30,374,0.0,3.0,551,484.6008055714298
2014-05-31,375,0.0,3.0,503,487.36743867262027
2014-06-30,376,0.0,3.0,499,488.0187953945944
2014-07-31,377,0.0,3.0,497,488.47634558648633
2014-08-31,378,0.0,3.0,474,488.8314978537161
2014-09-30,379,0.0,3.0,466,488.21351877647794
2014-10-31,380,0.0,3.0,423,487.28795549412473
2014-11-30,381,0.0,3.0,486,484.60929068186954
2014-12-31,382,0.0,3.0,508,484.66723690345833
2015-01-31,383,0.0,3.0,529,485.6394353658143
2015-02-28,384,0.0,3.0,567,487.4461255589054
2015-03-31,385,0.0,3.0,589,490.76087032728435
2015-04-30,386,0.0,3.0,589,494.85416739698087
2015-05-31,387,0.0,3.0,548,498.7769104221067
2015-06-30,388,0.0,3.0,508,500.8278724878523
2015-07-31,389,0.0,3.0,483,501.1267111341918
2015-08-31,390,0.0,3.0,487,500.3714315036005
2015-09-30,391,0.0,3.0,482,499.8142885242838
2015-10-31,392,0.0,3.0,494,499.0720265024387
2015-11-30,393,0.0,3.0,484,498.86069206483705
2015-12-31,394,0.0,3.0,501,498.2414965621355
2016-01-31,395,0.0,3.0,559,498.3564342053799
2016-02-29,396,0.0,3.0,601,500.88324944682245
2016-03-31,397,0.0,3.0,609,505.05478071987153
2016-04-30,398,0.0,3.0,613,509.38583152321024
2016-05-31,399,0.0,3.0,520,513.7030885430765
2016-06-30,400,0.0,3.0,487,513.9654598537817
2016-07-31,401,0.0,3.0,483,512.8418990265408
2016-08-31,402,0.0,3.0,493,511.5984865671016
2016-09-30,403,0.0,3.0,496,510.82354962680574
2016-10-31,404,0.0,3.0,504,510.2059017256889
2016-11-30,405,0.0,3.0,482,509.9473224871185
2016-12-31,406,0.0,3.0,483,508.78285071682194
2017-01-31,407,0.0,3.0,497,507.7085652702877
2017-02-28,408,0.0,3.0,509,507.26237505069236
2017-03-31,409,0.0,3.0,515,507.33477609024686
2017-04-30,410,0.0,3.0,514,507.6541604198199
2017-05-31,411,0.0,3.0,484,507.9185704023274
2017-06-30,412,0.0,3.0,467,506.9219633022305
2017-07-31,413,0.0,3.0,461,505.25854816463755
2017-08-31,414,0.0,3.0,452,503.414441991111
2017-09-30,415,0.0,3.0,464,501.2721735748147
2017-10-31,416,0.0,3.0,479,499.71916634253074
2017-11-30,417,0.0,3.0,482,498.8558677449253
2017-12-31,418,0.0,3.0,471,498.1535399222201
2018-01-31,419,0.0,3.0,482,497.0221424254609
2018-02-28,420,0.0,3.0,507,496.3962198244
2018-03-31,421,0.0,3.0,540,496.8380439983834
2018-04-30,422,0.0,3.0,507,498.6364588317841
2018-05-31,423,0.0,3.0,465,498.98493971379315
2018-06-30,424,0.0,3.0,456,497.56890055905177
2018-07-31,425,0.0,3.0,456,495.836863035758
2018-08-31,426,0.0,3.0,451,494.1769937426014
2018-09-30,427,0.0,3.0,459,492.3779523366597
2018-10-31,428,0.0,3.0,457,490.98720432263224
2018-11-30,429,0.0,3.0,451,489.5710708091893
2018-12-31,430,0.0,3.0,475,487.96394285880643
2019-01-31,431,0.0,3.0,512,487.42377857302284
2019-02-28,432,0.0,3.0,536,488.4477877991469
2019-03-31,433,0.0,3.0,534,490.42912997418244
2019-04-30,434,0.0,3.0,523,492.24458289192484
2019-05-31,435,0.0,3.0,453,493.5260586047613
2019-06-30,436,0.0,3.0,442,491.83747282956296
2019-07-31,437,0.0,3.0,441,489.76091146166453
2019-08-31,438,0.0,3.0,419,487.7292068174285
2019-09-30,439,0.0,3.0,435,484.8654898667023
2019-10-31,440,0.0,3.0,468,482.7877611222564
2019-11-30,441,0.0,3.0,442,482.17160440882907
2019-12-31,442,0.0,3.0,461,480.49778755846125
2020-01-31,443,0.0,3.0,469,479.68537974352535
2020-02-29,444,0.0,3.0,484,479.24015558754513
2020-03-31,445,0.0,3.0,456,479.4384824380641
2020-04-30,446,0.0,3.0,452,478.4618790031448
2020-05-31,447,0.0,3.0,387,477.3593007113471
2020-06-30,448,0.0,3.0,386,473.5943298483743
2020-07-31,449,0.0,3.0,394,469.944566104692
2020-08-31,450,0.0,3.0,373,466.7802091836632
2020-09-30,451,0.0,3.0,385,462.87270046767725
2020-10-31,452,0.0,3.0,380,459.6280046148574
2020-11-30,453,0.0,3.0,362,456.31017108923834
2020-12-31,454,0.0,3.0,420,452.38058062718676
2021-01-31,455,0.0,3.0,455,451.03138976772067
2021-02-28,456,0.0,3.0,445,451.196748527399
2021-03-31,457,0.0,3.0,458,450.93855067209074
2021-04-30,458,0.0,3.0,449,451.2327777274203
2021-05-31,459,0.0,3.0,416,451.1397453221111
2021-06-30,460,0.0,3.0,416,449.6755892670231
2021-07-31,461,0.0,3.0,441,448.2724397142305
2021-08-31,462,0.0,3.0,396,447.96942139280424
2021-09-30,463,0.0,3.0,408,445.80402883477075
2021-10-31,464,0.0,3.0,390,444.2288609666553
2021-11-30,465,0.0,3.0,367,441.9693250930447
2021-12-31,466,0.0,3.0,377,438.84560321416785
2022-01-31,467,0.0,3.0,414,436.26870308024417
2022-02-28,468,0.0,3.0,408,435.34084045190065
2022-03-31,469,0.0,3.0,406,434.2016387664048
2022-04-30,470,0.0,3.0,419,433.02657048447134
2022-05-31,471,0.0,3.0,426,432.4421300476184
2022-06-30,472,0.0,3.0,410,432.17370796230097
2022-07-31,473,0.0,3.0,411,431.24980346387173
2022-08-31,474,0.0,3.0,405,430.4060616528771
2022-09-30,475,0.0,3.0,431,429.3474757506739
2022-10-31,476,0.0,3.0,465,429.4163309277291
2022-11-30,477,0.0,3.0,409,430.89898380574044
2022-12-31,478,0.0,3.0,447,429.986526147168
2023-01-31,479,0.0,3.0,478,430.695420891036
2023-02-28,480,0.0,3.0,481,432.6664450205762
2023-03-31,481,0.0,3.0,495,434.6803431447189
2023-04-30,482,0.0,3.0,487,437.19366218035566
2023-05-31,483,0.0,3.0,505,439.2689262561742
2023-06-30,484,0.0,3.0,505,442.00772099550034
2023-07-31,485,0.0,3.0,504,444.63239928735453
2010-02-28,486,0.0,4.0,314,314.0
2010-03-31,487,0.0,4.0,301,314.0
2010-04-30,488,0.0,4.0,317,313.45833333333337
2010-05-31,489,0.0,4.0,331,313.6059027777778
2010-06-30,490,0.0,4.0,336,314.3306568287038
2010-07-31,491,0.0,4.0,312,315.23354612750785
2010-08-31,492,0.0,4.0,313,315.0988150388617
2010-09-30,493,0.0,4.0,319,315.0113644122425
2010-10-31,494,0.0,4.0,327,315.1775575617324
2010-11-30,495,0.0,4.0,324,315.67015932999357
2010-12-31,496,0.0,4.0,338,316.0172360245772
2011-01-31,497,0.0,4.0,323,316.9331845235531
2011-02-28,498,0.0,4.0,330,317.1859685017384
2011-03-31,499,0.0,4.0,328,317.71988648083266
2011-04-30,500,0.0,4.0,227,318.1482245441313
2011-05-31,501,0.0,4.0,214,314.3503818547925
2011-06-30,502,0.0,4.0,209,310.16911594417616
2011-07-31,503,0.0,4.0,204,305.9537361131688
2011-08-31,504,0.0,4.0,191,301.7056637751201
