Año,sector_economico_1,sector_economico_2,ta,asegurados
30/04/2025,0,1,89155,89155
31/05/2025,0,1,88625,88625
30/06/2025,0,1,85071,85071
31/07/2025,0,1,79893,79893
31/08/2025,0,1,80372,80372
30/09/2025,0,1,80966,80966
31/10/2025,0,1,82083,82083
30/11/2025,0,1,82831,82831
31/12/2025,0,1,83103,83103
31/01/2026,0,1,87500,87500
31/03/2010,0,2,15525,
30/04/2010,0,2,15533,
31/05/2010,0,2,15637,
30/06/2010,0,2,15710,
31/07/2010,0,2,15874,
31/08/2010,0,2,16081,
30/09/2010,0,2,16223,
31/10/2010,0,2,16472,
30/11/2010,0,2,16585,
31/12/2010,0,2,16373,
31/01/2011,0,2,16401,
28/02/2011,0,2,16525,
31/03/2011,0,2,16660,
30/04/2011,0,2,16652,
31/05/2011,0,2,16896,
30/06/2011,0,2,16894,
31/07/2011,0,2,17005,
31/08/2011,0,2,17181,
30/09/2011,0,2,17191,
31/10/2011,0,2,17204,
30/11/2011,0,2,17197,
31/12/2011,0,2,17143,
31/01/2012,0,2,17128,
29/02/2012,0,2,17122,
31/03/2012,0,2,17181,
30/04/2012,0,2,17239,
31/05/2012,0,2,17198,
30/06/2012,0,2,17124,
31/07/2012,0,2,17101,
31/08/2012,0,2,16857,
30/09/2012,0,2,16762,
31/10/2012,0,2,16877,
30/11/2012,0,2,17110,
31/12/2012,0,2,17219,
31/01/2013,0,2,17343,
28/02/2013,0,2,17365,
31/03/2013,0,2,17454,
30/04/2013,0,2,17201,
31/05/2013,0,2,17279,
30/06/2013,0,2,16121,
31/07/2013,0,2,15245,
31/08/2013,0,2,15214,
30/09/2013,0,2,14969,
31/10/2013,0,2,13674,
30/11/2013,0,2,13878,
31/12/2013,0,2,13798,
31/01/2014,0,2,14205,
28/02/2014,0,2,13962,
31/03/2014,0,2,14196,
30/04/2014,0,2,14557,
31/05/2014,0,2,14470,
30/06/2014,0,2,14783,
31/07/2014,0,2,15107,
31/08/2014,0,2,15388,
30/09/2014,0,2,15481,
31/10/2014,0,2,15958,
30/11/2014,0,2,16284,
31/12/2014,0,2,16621,
31/01/2015,0,2,16513,
28/02/2015,0,2,16831,
31/03/2015,0,2,17069,
30/04/2015,0,2,17179,
31/05/2015,0,2,17262,
30/06/2015,0,2,16813,
31/07/2015,0,2,16957,
31/08/2015,0,2,17124,
30/09/2015,0,2,17171,
31/10/2015,0,2,17325,
30/11/2015,0,2,17503,
31/12/2015,0,2,17459,
31/01/2016,0,2,17497,
29/02/2016,0,2,17561,
31/03/2016,0,2,17663,
30/04/2016,0,2,17729,
31/05/2016,0,2,17797,
30/06/2016,0,2,17883,
31/07/2016,0,2,17842,
31/08/2016,0,2,17833,
30/09/2016,0,2,17761,
31/10/2016,0,2,17762,
30/11/2016,0,2,17851,
31/12/2016,0,2,17786,
31/01/2017,0,2,20067,
28/02/2017,0,2,19292,
31/03/2017,0,2,19266,
30/04/2017,0,2,19272,
31/05/2017,0,2,19357,
30/06/2017,0,2,19338,
31/07/2017,0,2,19470,
31/08/2017,0,2,19497,
30/09/2017,0,2,17664,
31/10/2017,0,2,17816,
30/11/2017,0,2,18055,
31/12/2017,0,2,18033,
31/01/2018,0,2,18206,
28/02/2018,0,2,19623,
31/03/2018,0,2,19705,
30/04/2018,0,2,19864,
31/05/2018,0,2,19957,
30/06/2018,0,2,20078,
31/07/2018,0,2,20151,
31/08/2018,0,2,20261,
30/09/2018,0,2,20137,
31/10/2018,0,2,20548,
30/11/2018,0,2,20562,
31/12/2018,0,2,20438,
31/01/2019,0,2,20418,
28/02/2019,0,2,20515,
31/03/2019,0,2,20526,
30/04/2019,0,2,20458,
31/05/2019,0,2,20487,
30/06/2019,0,2,20462,
31/07/2019,0,2,21032,
31/08/2019,0,2,21369,
30/09/2019,0,2,21679,
31/10/2019,0,2,21774,
30/11/2019,0,2,21867,
31/12/2019,0,2,21543,
31/01/2020,0,2,21590,
29/02/2020,0,2,21742,
31/03/2020,0,2,21882,
30/04/2020,0,2,22186,
31/05/2020,0,2,22244,
30/06/2020,0,2,22210,
31/07/2020,0,2,22141,
31/08/2020,0,2,21997,
30/09/2020,0,2,21878,
31/10/2020,0,2,21533,
30/11/2020,0,2,22002,
31/12/2020,0,2,21774,
31/01/2021,0,2,21679,
28/02/2021,0,2,21734,
31/03/2021,0,2,22142,
30/04/2021,0,2,22414,
31/05/2021,0,2,23070,
30/06/2021,0,2,23890,
31/07/2021,0,2,23245,
31/08/2021,0,2,23429,
30/09/2021,0,2,23376,
31/10/2021,0,2,23356,
30/11/2021,0,2,23541,
31/12/2021,0,2,23294,
31/01/2022,0,2,23545,
28/02/2022,0,2,23728,
31/03/2022,0,2,23739,
30/04/2022,0,2,23648,
31/05/2022,0,2,23489,
30/06/2022,0,2,23288,
31/07/2022,0,2,23374,
31/08/2022,0,2,23221,
30/09/2022,0,2,23448,
31/10/2022,0,2,23820,
30/11/2022,0,2,23917,
31/12/2022,0,2,23769,
31/01/2023,0,2,23747,23747
28/02/2023,0,2,23828,23828
31/03/2023,0,2,23916,23916
30/04/2023,0,2,23993,23993
31/05/2023,0,2,23967,23967
30/06/2023,0,2,23892,23892
31/07/2023,0,2,23944,23944
31/08/2023,0,2,24376,24376
30/09/2023,0,2,24404,24404
31/10/2023,0,2,24491,24491
30/11/2023,0,2,24500,24500
31/12/2023,0,2,23750,23750
31/01/2024,0,2,24056,24056
29/02/2024,0,2,24093,24093
31/03/2024,0,2,24069,24069
30/04/2024,0,2,24107,24107
31/05/2024,0,2,24185,24185
30/06/2024,0,2,24194,24194
31/07/2024,0,2,24300,24300
31/08/2024,0,2,24235,24235
30/09/2024,0,2,24372,24372
31/10/2024,0,2,24500,24500
30/11/2024,0,2,24623,24623
31/12/2024,0,2,24507,24507
31/01/2025,0,2,24680,24680
28/02/2025,0,2,24833,24833
31/03/2025,0,2,24983,24983
30/04/2025,0,2,24934,24934
31/05/2025,0,2,24963,24963
30/06/2025,0,2,25156,25156
31/07/2025,0,2,25188,25188
31/08/2025,0,2,25217,25217
30/09/2025,0,2,25332,25332
31/10/2025,0,2,25383,25383
30/11/2025,0,2,25519,25519
31/12/2025,0,2,25498,25498
31/01/2026,0,2,25622,25622
31/03/2010,0,3,448,
30/04/2010,0,3,517,
31/05/2010,0,3,505,
30/06/2010,0,3,420,
