sector,nombre,mult_produccion,mult_empleo,mult_valor_agregado,intensidad_laboral,coef_valor_agregado
22,Energía/agua/gas,2.664521411275405,1.772143446936407,0.9939438877009089,0.19632534627234896,0.14216104993532216
312,Bebidas y tabaco,2.2499758170014057,1.3237601462826363,0.9683079013457506,0.2697745717370251,0.35724523924984414
327,Min. no metálicos,2.218622200552821,1.8804421468638073,0.9410566319900248,0.6366313917867434,0.3179311811306392
311,Alimentos,2.196582710036557,1.341333253406751,0.9375095779061206,0.4092969176993804,0.37556972409168277
23,Construcción,2.185272336461163,2.4617760486906852,0.9936043339594318,1.0728040030703938,0.3337504729796229
322-323,Papel e impresión,2.1751401951000373,1.9553376980768251,0.9968985573721378,0.6839335352112401,0.3415203217618646
331-332,Metálicas/prod. metálicos,2.1383185679191645,1.9974595141805342,0.9647157572373543,0.6954174519977042,0.3378339958631605
113-115,Forestal/Serv.agrop.,2.121166261879093,2.979155402391109,0.9923373331909962,1.7740174672489084,0.4054783950617284
324-326,Petroquímica/química,2.0925686525902916,1.6357550665643052,0.9968036287655787,0.5585165575982639,0.40763638341092046
315-316,Prendas/cuero,2.086609259360832,3.542480248270643,0.9898773556036645,2.297002447976181,0.40893206737664156
337,Muebles,2.0708000205076624,2.5312734224127666,0.9974125510890826,1.36313897104676,0.3976399636105156
313-314,Textiles,2.0418932215241776,2.0695002988145106,0.9307599213006812,1.055641554867561,0.40951259889920877
321,Madera,2.0015806390803386,3.0000872735050015,0.9938320963064562,1.865164443400948,0.43158283338173237
339,Otras manuf.,1.9628384119243831,2.1572133899760413,0.9965802404726358,1.0962613970110493,0.46361781321771983
72,Alojamiento/alimentos,1.9553904363033114,3.2998047570611986,0.9546206530254975,2.5605743364284157,0.5101298139988826
51,Información,1.9491477266219739,1.6773423755137835,0.9953514863823436,0.6070491930217252,0.4790028906729649
333-336,Maquinaria/electrónica,1.9262962359613864,1.6834057075730302,0.9981425883326644,0.671511200048377,0.46713465211403776
71,Esparcimiento,1.8638616219731294,2.5647327403718916,0.9910387713392498,1.7321958139090508,0.54653249773606
48-49,Transportes/almac.,1.856979096144436,1.9937996852008721,0.9976831242927235,1.1817218416088309,0.5558281947206788
62,Salud y asistencia,1.820577437094297,3.2944540092390255,0.9941949973599544,2.479219876653464,0.5635591060505394
81,Otros servicios,1.8006039009626593,4.243544271280419,0.9947182146888034,3.453246621668881,0.5685231351727084
53,Inmobiliario/alquiler,1.7929293901726848,2.2036554954197993,0.9950635427560348,1.3828488712609972,0.5749818492951075
114,Pesca,1.7710768838182251,10.072529881075997,0.987167356599672,9.446851079097273,0.6189905566837576
112,Ganadería,1.6699667818611648,3.3507273984667143,0.9482174375632668,2.894307301394989,0.6567469332121763
54,Serv. profesionales,1.6584915303288725,3.2694558235200115,0.9976235455424975,2.5162663689835827,0.62776014248613
56,Serv. apoyo negocios,1.655386026906608,2.9746523743359305,0.9943489739605452,2.3602022204140813,0.6566759730218533
52,Financiero y seguros,1.6255319264074444,1.7481691527567516,0.9983386085674371,0.8850184893397579,0.6412778797975663
21-2,Min. no petrolera,1.5825333120776568,0.655949292493286,0.2909176132879506,0.0,0.0
61,Educación,1.4908097802383653,3.3330613855606774,0.9968476697136421,2.794214154896941,0.7407860602488026
43,Com. mayorista,1.4559903324122385,1.4820394171777285,0.9987450290100384,0.9398184072429036,0.7394922060993149
46,Com. minorista,1.455894147620773,2.830196988943055,0.9991210908795374,2.342164233444137,0.7624513154167136
55,Corporativos,1.2212041902547994,0.25181558323381625,0.9990545668714849,0.02370085675394347,0.8769791016094163
111,Agricultura,1.1285626366391919,0.12703623671928224,0.06228352459611667,0.0,0.0
21-1,Min. petrolera,1.0,0.0,0.0,0.0,0.0
